primary_location,total_cases,avg_severity,avg_recency,total_risk,normalized_risk,lat,lon
Oshiwara,1,2,0.1,0.2,0.2,19.1502437,72.8342294
Paithan,1,3,0.1,0.3,0.3,19.4733594,75.3868103
Palestine,1,1,0.1,0.1,0.1,28.5925508,77.1793656
Palghar,1,1,0.1,0.1,0.1,19.757249,73.0931199
Panchenda,1,3,0.1,0.3,0.3,,
Panchkula,1,3,0.998001999,2.994005996,2.994005996,30.6975401,76.8551066
Pankaj,1,1,0.1,0.1,0.1,19.0374406,72.9343859
Paranaganj,1,3,0.748263568,2.244790703,2.244790703,,
Pargal,1,2,0.1,0.2,0.2,,
Parjang,1,2,0.757296822,1.514593643,1.514593643,20.9224679,85.3170924
Patna,2,1.5,0.175,0.45,0.225,25.6093239,85.1235252
Pooja,1,2,0.1,0.2,0.2,19.1669374,72.9327497
Portugal,1,1,0.1,0.1,0.1,38.7399834,-9.1124968
Pratapgarh,1,3,0.1,0.3,0.3,25.75,81.75
Preity Zinta,1,2,0.1,0.2,0.2,,
Pulwama,5,1,0.115884928,0.579424639,0.115884928,33.9490472,75.0418335
Puri Orissa,1,1,0.1,0.1,0.1,19.7883445,85.8013588
Qatar,1,1,0.998001999,0.998001999,0.998001999,12.5917218,75.0730224
Rairangpur,1,2,0.990049834,1.980099667,1.980099667,22.215745,86.2325462
Rajasthan,2,1,0.1,0.2,0.1,26.8105777,73.7684549
Rajasthan Hc,1,3,0.1,0.3,0.3,24.8768151,75.6294284
Rajkot,3,3,0.123900373,1.115103354,0.371701118,22.3053263,70.8028377
Rajouri,1,1,0.1,0.1,0.1,33.3772495,74.3132332
Ranchi,2,2,0.549000999,3.094005996,1.547002998,23.3700501,85.3250387
Rayagada,1,2,0.1,0.2,0.2,19.4426698,83.5873053
Razia,1,3,0.97628571,2.928857129,2.928857129,19.0654146,72.8757721
Rhode Island,1,3,0.998001999,2.994005996,2.994005996,41.8560526,-71.3918797
Ridge Road,1,1,0.25,0.25,0.25,23.1538103,79.9718455
Rohimapur,1,1,0.1,0.1,0.1,,
Rohit Pawar,1,1,0.992031915,0.992031915,0.992031915,,
Saamana,1,3,0.1,0.3,0.3,,
Sadashiv Patti,1,3,0.1,0.3,0.3,,
Sagarpara,1,1,0.25,0.25,0.25,22.7590994,74.7017783
Sagwan,1,2,0.25,0.5,0.5,20.5135896,76.1679029
Saharanpur,1,3,0.1,0.3,0.3,29.9856799,77.5040646
Sahaswan,1,3,0.1,0.3,0.3,28.1112629,78.7463973
Samanna Village,1,1,0.998001999,0.998001999,0.998001999,23.8593356,79.4800822
San Francisco,2,2,0.218935474,0.937870948,0.468935474,37.7360416,-122.370526
Sangli District,1,3,0.561019284,1.683057852,1.683057852,17.1726928,74.5867654
Sansa Village,1,3,0.25,0.75,0.75,13.1879829,75.3343192
Sanyukt Kavach,1,1,1,1,1,,
Saraswati Nagar,1,3,0.1,0.3,0.3,30.2247248,77.1940151
Satara,1,3,0.764907781,2.294723343,2.294723343,17.6361289,74.2982781
Sengar,1,3,0.864157703,2.59247311,2.59247311,23.1117304,83.1930012
Shakti Mills,4,3,0.1,1.2,0.3,18.9878778,72.82531
Sharma,6,2.333333333,0.249667,2.298001999,0.383000333,27.9225088,93.097288
Shillong,1,3,0.1,0.3,0.3,25.5759931,91.8827872
Silchar,1,3,0.978240235,2.934720705,2.934720705,24.830302,92.7875689
Singampunari,1,3,0.25,0.75,0.75,10.1834134,78.4216117
Singh,6,1.666666667,0.557471222,3.74482733,0.624137888,30.8904309,76.5530395
Singrauli,1,1,0.1,0.1,0.1,24.2431343,82.3827672
Sitapur,1,3,0.1,0.3,0.3,27.5026748,80.8335139
Sivaganga,1,1,0.25,0.25,0.25,9.8486881,78.4870461
Siwan,1,1,0.1,0.1,0.1,26.131008,84.3910745
Siyana,1,3,0.1,0.3,0.3,25.1410113,72.6829719
Sonapur,1,3,0.1,0.3,0.3,26.1126719,92.0097323
Sonarpur,1,3,0.1,0.3,0.3,22.4441922,88.4325557
Spain,1,2,0.994017964,1.988035928,1.988035928,41.4381984,2.0871157
Srinagar,6,1.333333333,0.248341639,1.690049834,0.281674972,34.0747444,74.8204443
Sultanpur,2,2,0.1,0.4,0.2,26.2604732,82.2380532
Sunil,1,1,0.1,0.1,0.1,30.5511851,79.5473452
Suri,1,2,0.1,0.2,0.2,23.9080538,87.5277255
Taj,1,1,0.1,0.1,0.1,13.0581516,80.2475187
Talwars,1,1,0.1,0.1,0.1,,
Tehran,1,1,0.992031915,0.992031915,0.992031915,35.7279599,51.4254038
Tejpal,2,2.5,0.1,0.5,0.25,19.1081165,72.8502764
Telangana,4,1.5,0.361501997,1.646007989,0.411501997,17.8495919,79.1151663
Telangana Bjp,1,3,0.1,0.3,0.3,,
Texas,1,1,0.978240235,0.978240235,0.978240235,32.5251375,-96.6161027
Thane,3,2.333333333,0.644771621,4.12235079,1.37411693,19.3653598,73.3685437
Thirthahalli,1,3,0.1,0.3,0.3,13.3481741,74.7780444
Tihar,1,3,0.1,0.3,0.3,28.6346361,77.1071121
Trichy,2,2,0.170674337,0.682697348,0.341348674,10.8071144,78.6880939
Turkmenistan,1,3,0.992031915,2.976095745,2.976095745,37.9033268,58.380891
Uae,1,1,0.986097544,0.986097544,0.986097544,25.2311201,55.1796658
Udaipur,1,3,0.1,0.3,0.3,24.578721,73.6862571
Udupi,1,1,0.1,0.1,0.1,13.5269784,74.8731879
Uluberia,1,3,0.758812931,2.276438792,2.276438792,22.4700318,88.1011108
Unnao,4,3,0.896490584,10.757887,2.689471751,26.5673264,80.6198193
Usa,1,3,0.1,0.3,0.3,40.3764599,-79.1194757
Ushait,1,3,0.1,0.3,0.3,,
Uttarakhand,3,1.666666667,0.446023904,3.314215139,1.10473838,30.0417376,79.089691
Vadodara,2,3,0.25,1.5,0.75,22.2973142,73.1942567
Vadodara City,1,3,0.1,0.3,0.3,22.2973142,73.1942567
Vandana,1,3,0.1,0.3,0.3,19.1356525,72.8219219
Varanasi,1,2,0.1,0.2,0.2,25.3356491,83.0076292
Varnika,1,1,0.1,0.1,0.1,13.0551729,77.6012573
Vidisha,1,2,0.1,0.2,0.2,23.8463004,77.8370209
Vijayawada,1,3,0.98412732,2.95238196,2.95238196,16.5115306,80.6160469
Vinay,1,3,0.1,0.3,0.3,19.0763472,72.9056202
Vinod,1,3,0.1,0.3,0.3,11.1534357,75.8926177
Visakhapatnam,1,1,0.996007989,0.996007989,0.996007989,17.6935526,83.2921297
West Bengal,16,1.8125,0.677024397,16.88866895,1.05554181,22.9964948,87.6855882
West Godavari,1,3,0.1,0.3,0.3,16.6443029,81.5885247
West Singhbhum,1,1,0.1,0.1,0.1,22.4282857,85.5317483
Willington,1,2,0.990049834,1.980099667,1.980099667,54.710243,-1.69054
Yasin,1,1,0.1,0.1,0.1,22.296713,73.2139482
Yellapur,1,1,0.881614847,0.881614847,0.881614847,18.0829891,79.4985293
Zinta,3,2,0.1,0.6,0.2,,
